Gemeinde,Score,Total Anzahl Personen Sozialhilfe,Total Verunfallte Personen,Total Anzahl Unfälle 2021
Doppleschwand,0.0,0.0,0.0,0.0
Honau,0.0897827258035554,0.0,1.0,1.0
Romoos,0.16160890644639972,0.0,3.0,0.0
Flühli,0.21547854192853294,7.0,1.0,1.0
Vitznau,0.23343508708924404,9.0,0.0,2.0
Schlierbach,0.2513916322499551,0.0,2.0,4.0
Grossdietwil,0.2513916322499551,12.0,0.0,1.0
Fischbach,0.2873047225713773,12.0,0.0,2.0
Meierskappel,0.32321781289279944,11.0,1.0,2.0
Greppen,0.4309570838570659,13.0,1.0,4.0
Ermensee,0.4309570838570659,10.0,2.0,4.0
Roggliswil,0.4668701741784881,3.0,5.0,4.0
Aesch,0.5207398096606213,11.0,4.0,3.0
Ufhusen,0.5746094451427546,8.0,4.0,6.0
Hergiswil,0.5925659903034657,9.0,4.0,6.0
Hasle,0.6105225354641767,11.0,3.0,7.0
Luthern,0.6464356257855989,16.0,4.0,4.0
Schongau,0.6464356257855989,7.0,5.0,7.0
Udligenswil,0.6643921709463099,10.0,5.0,6.0
Alberswil,0.7003052612677321,9.0,4.0,9.0
Altbüron,0.7182618064284432,25.0,1.0,6.0
Gisikon,0.7182618064284432,38.0,0.0,1.0
Wikon,0.7541748967498654,33.0,1.0,3.0
Egolzwil,0.7541748967498654,29.0,1.0,5.0
Eich,0.7900879870712875,0.0,6.0,13.0
Hildisrieden,0.8080445322319986,22.0,3.0,7.0
Wauwil,0.8619141677141318,44.0,0.0,2.0
Römerswil,0.9337403483569762,15.0,5.0,11.0
Mauensee,0.9516968935176873,11.0,10.0,6.0
Büron,0.9876099838391094,40.0,1.0,6.0
Altishofen,1.0055665289998204,25.0,5.0,8.0
Buttisholz,1.1312623451247978,18.0,7.0,12.0
Werthenstein,1.1312623451247978,23.0,6.0,11.0
Adligenswil,1.2030885257676422,42.0,3.0,8.0
Hohenrain,1.2569581612497756,11.0,9.0,16.0
Nottwil,1.382653977374753,38.0,7.0,9.0
Knutwil,1.4544801580175974,12.0,7.0,24.0
Nebikon,1.4544801580175974,52.0,5.0,7.0
Rain,1.4903932483390196,0.0,17.0,16.0
Schenkon,1.4903932483390196,0.0,11.0,25.0
Grosswangen,1.4903932483390196,48.0,5.0,10.0
Ballwil,1.5263063386604416,16.0,9.0,21.0
Schwarzenberg,1.580175974142575,9.0,5.0,32.0
Zell,1.6699586999461304,50.0,5.0,14.0
Geuensee,1.7238283354282635,62.0,6.0,8.0
Pfaffnau,1.8315676063925301,53.0,7.0,14.0
Ettiswil,1.8674806967139523,38.0,14.0,12.0
Meggen,1.8674806967139523,40.0,10.0,17.0
Sempach,1.9033937870353745,15.0,11.0,29.0
Oberkirch,1.9752199676782187,53.0,9.0,15.0
Eschenbach,2.1188723289639073,27.0,11.0,29.0
Weggis,2.2804812354103072,34.0,13.0,27.0
Menznau,2.316394325731729,45.0,18.0,15.0
Dierikon,2.3882205063745734,44.0,13.0,25.0
Escholzmatt-Marbach,2.513916322499551,74.0,12.0,15.0
Schüpfheim,2.513916322499551,101.0,5.0,12.0
Rickenbach,2.5498294128209733,75.0,11.0,17.0
Schötz,2.639612138624529,93.0,8.0,15.0
Triengen,2.675525228945951,79.0,10.0,20.0
Entlebuch,2.729394864428084,39.0,23.0,22.0
Inwil,2.908960316035195,17.0,23.0,38.0
Rothenburg,2.9807864966780393,67.0,15.0,27.0
Beromünster,3.0885257676423055,80.0,12.0,28.0
Root,3.4835697611779493,132.0,6.0,22.0
Wolhusen,3.6092655773029265,162.0,5.0,12.0
Dagmersellen,3.8965702998743046,86.0,19.0,37.0
Malters,4.130005386963549,131.0,13.0,30.0
Neuenkirch,4.130005386963549,78.0,22.0,43.0
Ruswil,4.614832106302747,158.0,19.0,21.0
Hitzkirch,4.614832106302747,128.0,19.0,36.0
Reiden,4.830310648231281,120.0,21.0,43.0
Hochdorf,6.3207038965703,223.0,17.0,39.0
Buchrain,6.751660980427365,157.0,33.0,60.0
Willisau,7.092835338480877,236.0,25.0,42.0
Sursee,9.516968935176871,244.0,34.0,92.0
Horw,10.055665289998204,351.0,29.0,61.0
Ebikon,15.550368109175794,443.0,69.0,108.0
Kriens,27.024600466870176,1004.0,73.0,141.0
Emmen,29.718082240976834,1136.0,71.0,153.0
Luzern,100.0,3598.0,289.0,552.0
